abash	To make ashamed or uneasy; disconcert. See Synonyms at embarrass.	Rare
abattoir	A slaughterhouse.	Low
abdicate	To relinquish (power or responsibility) formally.	Medium
abeyance	The condition of being temporarily set aside; suspension:  held the plan in abeyance. 	Medium
abject	Brought low in condition or status. See Synonyms at mean2.	Very High
abnegation	Self-denial.	Medium
abstemious	Eating and drinking in moderation.	Low
acrimonious	Bitter and sharp in language or tone; rancorous:  an acrimonious debate between the two candidates. 	Medium
acrimony	Bitter, sharp animosity, especially as exhibited in speech or behavior.	Medium
admonish	To reprove gently but earnestly.	Medium
alacrity	Cheerful willingness; eagerness.	Very High
amanuensis	One who is employed to take dictation or to copy manuscript.	Medium
ambivalence	The coexistence of opposing attitudes or feelings, such as love and hate, toward a person, object, or idea.	Low
amiable	Friendly and agreeable in disposition; good-natured and likable.	Common
amicable	Characterized by or exhibiting friendliness or goodwill; friendly.	High
amorous	Strongly attracted or disposed to love, especially sexual love.	Very High
amorphic	Having no defined shape, lacking form; amorphous.	Rare
anachronistic	Erroneous in date; containing an anachronism; in a wrong time.	Low
anamorphic	Relating to, having, or producing different optical imaging effects along mutually perpendicular radii:  an anamorphic lens. 	Rare
anthropomorphic	Having the form of a man	Low
anthropomorphize	To ascribe human characteristics to.	Rare
aplomb	Self-confident assurance; poise. See Synonyms at confidence.	Low
ascetic	A person who renounces material comforts and leads a life of austere self-discipline, especially as an act of religious devotion.	High
asceticism	The principles and practices of an ascetic; extreme self-denial and austerity.	Medium
aspersions	Plural form of aspersion.	Low
assent	To agree, as to a proposal; concur.	Common
assiduous	Constant in application or attention; diligent:  an assiduous worker who strove for perfection.  See Synonyms at busy.	High
assuage	To make (something burdensome or painful) less intense or severe:  assuage her grief.  See Synonyms at relieve.	Medium
atrophy	Pathology   A wasting or decrease in size of a body organ, tissue, or part owing to disease, injury, or lack of use:  muscular atrophy of a person affected with paralysis. 	Low
auspices	Plural of auspex.	Very High
austerity	The quality of being austere.	High
avarice	Immoderate desire for wealth; cupidity.	Very High
beatific	Showing or producing exalted joy or blessedness:  a beatific smile. 	Medium
beguile	To deceive by guile; delude. See Synonyms at deceive.	High
benignant	Favorable; beneficial.	Medium
bereaved	Suffering the loss of a loved one:  the bereaved family. 	High
bereft	A past tense and a past participle of bereave.	High
bore	To make a hole in or through, with or as if with a drill.	Common
calumny	A false statement maliciously made to injure another's reputation.	High
capricious	Characterized by or subject to whim; impulsive and unpredictable. See Synonyms at arbitrary.	Very High
cavil	To find fault unnecessarily; raise trivial objections. See Synonyms at quibble.	Medium
